note_source note,title,identifier_PPNanalog,recordIdentifier,classification,dateIssued,accessCondition_use and reproduction,accessCondition_restriction on access,form_material,form_form,extent,coordinates,identifier_ark,subject,canton,documentType,fileUrl,iiifUrl,roleTerm_code,namePart_family,namePart_given,displayForm_personal,topic,state,geographic
"Ein Portrait eines Jungen eventuell Emil Weber, eventuell bei der St. Oswalds-Gasse.",Portrait eines Jungen,TF_GP_01438,BibZug_TD_23_01438,Bibliothek Zug#Glasplatten,1910,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz11c9z,Portrait,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01438/800/0/TD_23_01438.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01438/files/images/TD_23_01438.jpg'}],,,,,,,
"Eine Gruppe Knaben, im Hintergrund ist die St. Michaels Kirche zu erkennen, eventuell handelt es sich um Schüler vom Kollegium St. Michael.","Eine Gruppe Knaben, im Hintergrund die St. Michaels Kirche",TF_GP_01439,BibZug_TD_23_01439,Bibliothek Zug#Glasplatten,1910,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1616032459, 8.51842479121",ark:/63274/bz1wp75,Schule,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01439/800/0/TD_23_01439.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01439/files/images/TD_23_01439.jpg'}],,,,,,,
"Ein Portrait eines Jungen, eventuell bei der St. Oswalds-Gasse",Ein Portrait eines Jungen,TF_GP_01440,BibZug_TD_23_01440,Bibliothek Zug#Glasplatten,1909,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1rw4t,Portrait,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01440/800/0/TD_23_01440.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01440/files/images/TD_23_01440.jpg'}],,,,,,,
"Ein Portrait eines Jungen, eventuell bei der St. Oswalds-Gasse.",Ein Portrait eines Jungen,TF_GP_01441,BibZug_TD_23_01441,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1n62c,Portrait,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01441/800/0/TD_23_01441.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01441/files/images/TD_23_01441.jpg'}],,,,,,,
"Ein Portrait eines Mädchens, eventuell im Kleid für den Weissen Sonntag.",Ein Portrait eines Mädchens,TF_GP_01442,BibZug_TD_23_01442,Bibliothek Zug#Glasplatten,1911,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1hc9s,Portrait,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01442/800/0/TD_23_01442.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01442/files/images/TD_23_01442.jpg'}],,,,,,,
Ein Portrait eines Jungen,Portrait eines Jungen,TF_GP_01443,BibZug_TD_23_01443,Bibliothek Zug#Glasplatten,1912,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1cp8d,Portrait,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01443/800/0/TD_23_01443.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01443/files/images/TD_23_01443.jpg'}],,,,,,,
"Ein junger Mann, eventuell ein Student, in seinem Arbeitszimmer.",Ein junger Mann in seinem Arbeitszimmer,TF_GP_01444,BibZug_TD_23_01444,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz17w52,Portrait,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01444/800/0/TD_23_01444.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01444/files/images/TD_23_01444.jpg'}],,,,,,,
Zwei kleine Kinder im Winter bei einer Wildbachverbauung im Wald.,Zwei Kinder im Wald,TF_GP_01445,BibZug_TD_23_01445,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Natur,9x12,,ark:/63274/bz14626,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01445/800/0/TD_23_01445.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01445/files/images/TD_23_01445.jpg'}],,,,,,,
"Junger Mann, eventuell ein Student, in seinem Zimmer.",Junger Mann in seinem Zimmer,TF_GP_01446,BibZug_TD_23_01446,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz10d08,Portrait,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01446/800/0/TD_23_01446.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01446/files/images/TD_23_01446.jpg'}],,,,,,,
"Eine Gruppe von jungen Männern. Einer ist in der Uniform des Bataillon 48, des Zuger Bataillon.",Gruppenbild von jungen Männern,TF_GP_01447,BibZug_TD_23_01447,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,,ark:/63274/bz1vp7t,Personen,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01447/800/0/TD_23_01447.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01447/files/images/TD_23_01447.jpg'}],,,,,,,
"Eine Gruppe von jungen Männern. Einer ist in der Uniform des Bataillon 48, des Zuger Bataillon.",Eine Gruppe von jungen Männern,TF_GP_01448,BibZug_TD_23_01448,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,,ark:/63274/bz1qw69,Personen,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01448/800/0/TD_23_01448.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01448/files/images/TD_23_01448.jpg'}],,,,,,,
Eine Militärformation des Zuger Bataillon auf dem Postplatz.,Militärformation auf dem Postplatz,TF_GP_01449,BibZug_TD_23_01449,Bibliothek Zug#Glasplatten,1907 - 1918,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Militär,9x12,"47.1680004775, 8.51534829775",ark:/63274/bz1m61m,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01449/800/0/TD_23_01449.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01449/files/images/TD_23_01449.jpg'}],,,,,,,
Militärparade beim unteren Postplatz vor dem Regierungsgebäude.,Militärparade beim Postplatz,TF_GP_01450,BibZug_TD_23_01450,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Militär,9x12,"47.1680004775, 8.51534829775",ark:/63274/bz1gg85,Personen,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01450/800/0/TD_23_01450.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01450/files/images/TD_23_01450.jpg'}],,,,,,,
Zwei Kinder bei einem kleinem Wasserfall im Wald.,Zwei Kinder im Wald,TF_GP_01452,BibZug_TD_23_01452,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,,ark:/63274/bz1bp67,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01452/800/0/TD_23_01452.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01452/files/images/TD_23_01452.jpg'}],,,,,,,
Portrait eines Mannes vor dem Eingangsbereich eines Hauses,Portrait eines Mannes,TF_GP_01453,BibZug_TD_23_01453,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1703c,Portrait,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01453/800/0/TD_23_01453.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01453/files/images/TD_23_01453.jpg'}],,,,,,,
Grabstein von Clara Iten-Kalt,Grabstein von Clara Iten-Kalt,TF_GP_01454,BibZug_TD_23_01454,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,,ark:/63274/bz1361f,Kirche,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01454/800/0/TD_23_01454.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01454/files/images/TD_23_01454.jpg'}],,,,,,,
Ein Portrait von zwei jungen Männern mit Bergsteigerausrüstung in einem Garten.,Ein Portrait von zwei jungen Männern,TF_GP_01455,BibZug_TD_23_01455,Bibliothek Zug#Glasplatten,1912,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1zg9d,Portrait,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01455/800/0/TD_23_01455.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01455/files/images/TD_23_01455.jpg'}],,,,,,,
"Eine Gruppe junge Männer, sehr wahrscheinlich handelt es sich um Studenten, vor einer Hütte im Schnee",Eine Gruppe junge Männer,TF_GP_01456,BibZug_TD_23_01456,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,,ark:/63274/bz1tp62,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01456/800/0/TD_23_01456.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01456/files/images/TD_23_01456.jpg'}],,,,,,,
"Ein Mann am Ufer des Rheins, im Hintergrund erkennt man Laufenburg.",Laufenburg vom Rhein aus gesehen,TF_GP_01457,BibZug_TD_23_01457,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.5621107231, 8.06127363458",ark:/63274/bz1q04m,Ortsbild,Aargau,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01457/800/0/TD_23_01457.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01457/files/images/TD_23_01457.jpg'}],,,,,,,
"Eine Gruppe von Schülern oder Studenten vor einer Hütte im Winter, im Hintergrund kann man das Kloster Einsiedeln erkennen.",Eine Gruppe von Schülern oder Studenten vor einer Hütte im Winter,TF_GP_01458,BibZug_TD_23_01458,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1267934477, 8.75119909189",ark:/63274/bz1k618,Ortsbild,Schwyz,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01458/800/0/TD_23_01458.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01458/files/images/TD_23_01458.jpg'}],,,,,,,
Eine Militärformation zur Vereidigung von Soldaten des Zuger Bataillon auf dem Postplatz.,Vereidigung von Soldaten des Zuger Bataillon 1914,TF_GP_01459,BibZug_TD_23_01459,Bibliothek Zug#Glasplatten,05.08.1914,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Militär,9x12,"47.1680004775, 8.51534829775",ark:/63274/bz1fh0w,Ortsbild,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01459/800/0/TD_23_01459.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01459/files/images/TD_23_01459.jpg'}],,,,,,,
"Ein Bootshaus am See, eventuell steht dieses beim Tellenörtli bei Oberwil südlich von Zug.",Bootshaus am See,TF_GP_01460,BibZug_TD_23_01460,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.150115404, 8.50745806719",ark:/63274/bz19p79,Architektur,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01460/800/0/TD_23_01460.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01460/files/images/TD_23_01460.jpg'}],,,,,,,
"Eine Grössere Wandergruppe am posieren, eventuell handelt es sich um Mitglieder des SAC.",Grössere Wandergruppe am posieren,TF_GP_01461,BibZug_TD_23_01461,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,,ark:/63274/bz1604f,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01461/800/0/TD_23_01461.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01461/files/images/TD_23_01461.jpg'}],,,,,,,
Eine Parade mit einer Marschkapelle von Uniformierten vor dem Hotel Zugerhof. Die Schienen der Tramlinie der Zuger Berg- und Strassenbahn sind  in der Strasse zu erkennen.,Parade und Marschkapelle vor dem Hotel Zugerhof,TF_GP_01462,BibZug_TD_23_01462,Bibliothek Zug#Glasplatten,1907 - 1917,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1726230733, 8.514536829",ark:/63274/bz1262h,Volkskunde,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01462/800/0/TD_23_01462.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01462/files/images/TD_23_01462.jpg'}],,,,,,,
"Ein Altar im inneren einer Kirche, um welche es sich handelt kann nicht gesagt werden.",Ein Altar,TF_GP_01463,BibZug_TD_23_01463,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,,ark:/63274/bz1xg92,Kirche,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01463/800/0/TD_23_01463.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01463/files/images/TD_23_01463.jpg'}],,,,,,,
Ein Vollbesetzter Zugwagen beim Bahnhof Zug auf dem Gleis Richtung Luzern.,Einfahrt in den Bahnhof Zug,TF_GP_01464,BibZug_TD_23_01464,Bibliothek Zug#Glasplatten,1913 - 1923,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Verkehr,9x12,"47.1732484765, 8.51516178366",ark:/63274/bz1sp8j,Verkehr,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01464/800/0/TD_23_01464.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01464/files/images/TD_23_01464.jpg'}],,,,,,,
"Ein Portrait eines jungen Mannes, vermutlich handelt es sich dabei um  Otto Brügger.",Ein Portrait eines jungen Mannes,TF_GP_01465,BibZug_TD_23_01465,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1p03v,Portrait,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01465/800/0/TD_23_01465.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01465/files/images/TD_23_01465.jpg'}],,,,,,,
"Ein Portrait eines alten Mannes, vermutlich handelt es sich dabei um Oswald Stocker.",Ein Portrait eines alten Mannes,TF_GP_01466,BibZug_TD_23_01466,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1j90n,Portrait,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01466/800/0/TD_23_01466.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01466/files/images/TD_23_01466.jpg'}],,,,,,,
"Ein geschmücktes Grab, der Name auf dem Grabstein ist nicht zu erkennen.",Ein geschmücktes Grab,TF_GP_01467,BibZug_TD_23_01467,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,9x12,"47.16101651833637, 8.521197505578053",ark:/63274/bz1dg8g,,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01467/800/0/TD_23_01467.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01467/files/images/TD_23_01467.jpg'}],,,,,,,
Das Grabmal von Rudolf Wilhelm,Grabmal Rudolf Wilhelm,TF_GP_01468,BibZug_TD_23_01468,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Religion,9x12,"47.160892503725194, 8.521176047906678",ark:/63274/bz18s58,Kirche,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01468/800/0/TD_23_01468.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01468/files/images/TD_23_01468.jpg'}],,,,,,,
"Eine Familie vor dem Gasthaus auf dem Rütli. 
Im Hintergrund erkennt man die Bergspitze der Rigi.",Eine Familie vor dem Restaurant Rütlihaus,TF_GP_01469,BibZug_TD_23_01469,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"46.96943901203713, 8.592254170577243",ark:/63274/bz1503p,Personen,Uri,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01469/800/0/TD_23_01469.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01469/files/images/TD_23_01469.jpg'}],,,,,,,
"Ein Kind an der St. Oswalds-Gasse in Zug, im Hintergrund erkennt man das Dach des Zytturmes.",St. Oswalds-Gasse mit dem Zytturm,TF_GP_01470,BibZug_TD_23_01470,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1652750571, 8.51558716553",ark:/63274/bz1191w,Alltag,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01470/800/0/TD_23_01470.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01470/files/images/TD_23_01470.jpg'}],,,,,,,
Ein Portrait von zwei jungen Mädchen.,Portrait von zwei jungen Mädchen,TF_GP_01471,BibZug_TD_23_01471,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1wg89,Portrait,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01471/800/0/TD_23_01471.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01471/files/images/TD_23_01471.jpg'}],,,,,,,
"Blick über die Grabenstrasse, mit den Gleisen der Zuger Berg- und Strassenbahn, und die Altstadt von Zug. Im Vordergrund erkennt man die Liebfrauenkapelle in der Altstadt sowie das alte Knabenschulhaus. Im Hintergrund sieht man den Zytturm, die Pfarrkirche St. Oswald und den Kapuzinerturm der alten Wehranlagen.",Grabenstrasse und Altstadt vom Stadttheater aus gesehen,TF_GP_01472,BibZug_TD_23_01472,Bibliothek Zug#Glasplatten,1907 - 1917,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.1658704579, 8.51541952743",ark:/63274/bz1rs6h,Schule,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01472/800/0/TD_23_01472.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01472/files/images/TD_23_01472.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Ein Bild von drei Knaben in lustiger Pose und in Badehosen.,Drei Kinder in lustiger Pose und Badehosen,TF_GP_01473,BibZug_TD_23_01473,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,,ark:/63274/bz1n03h,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01473/800/0/TD_23_01473.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01473/files/images/TD_23_01473.jpg'}],,,,,,,
Ein Portrait eines jungen Mannes in seinem Zimmer.,Junger Mann in seinem Zimmer,TF_GP_01474,BibZug_TD_23_01474,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1h924,private Fotografie,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01474/800/0/TD_23_01474.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01474/files/images/TD_23_01474.jpg'}],,,,,,,
Ein Portrait einer älteren Dame.,Portrait einer älteren Dame,TF_GP_01475,BibZug_TD_23_01475,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1cg9j,private Fotografie,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01475/800/0/TD_23_01475.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01475/files/images/TD_23_01475.jpg'}],,,,,,,
Eine Aufnahme von zwei jungen Mädchen und einer älteren Dame am Seeufer.,Zwei Mädchen und eine ältere Dame am Seeufer,TF_GP_01476,BibZug_TD_23_01476,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,,ark:/63274/bz17s6b,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01476/800/0/TD_23_01476.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01476/files/images/TD_23_01476.jpg'}],,,,,,,
Eine Aufnahme von einem älteren Ehepaar in ihrem Wohnzimmer.,Ein älteres Ehepaar im Wohnzimmer,TF_GP_01477,BibZug_TD_23_01477,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1404r,private Fotografie,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01477/800/0/TD_23_01477.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01477/files/images/TD_23_01477.jpg'}],,,,,,,
Eine Aufnahme von drei Kinder bei einer Schiffsanlegestelle.,Drei Kinder bei einer Schiffsanlegestelle,TF_GP_01478,BibZug_TD_23_01478,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,9x12,"47.17014174040518, 8.512882657661677",ark:/63274/bz1091j,Personen,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01478/800/0/TD_23_01478.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01478/files/images/TD_23_01478.jpg'}],,,,,,,
Ein Portrait eines jungen Mannes,Portrait eines jungen Mannes,TF_GP_01479,BibZug_TD_23_01479,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1vh01,Portrait,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01479/800/0/TD_23_01479.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01479/files/images/TD_23_01479.jpg'}],,,,,,,
"Ein Portrait eines alten Mannes sitzend auf einer Bank im Hinterhof, vermutlich handelt es sich dabei um Oswald Stocker.",Portrait eines alten Mannes sitzend auf einer Bank,TF_GP_01481,BibZug_TD_23_01481,Bibliothek Zug#Glasplatten,1913,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,9x12,,ark:/63274/bz1m32w,Portrait,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_01481/800/0/TD_23_01481.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_01481/files/images/TD_23_01481.jpg'}],,,,,,,
